artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
The Chemical Brothers,Setting Sun,breakbeat,135.065,0.445,0.995,0.229,-1.155,0.000829,0.12,0.35,0.222,3Bjx94921MJ0DvjQQ9KVpK
The Quantic Soul Orchestra,Terrapin,breakbeat,120.042,0.784,0.909,0.871,-5.327,0.0492,0.919,0.0757,0.0401,0su7Fj6d6ybtv2bwCvuvdQ
Pendulum,Witchcraft,breakbeat,174.031,0.432,0.969,0.218,-3.131,2.92e-05,0.00768,0.385,0.0599,2A7ZZ1tjaluKYMlT3ItSfN
Mutated Forms,"Windows featuring Netsky, Sofia Rubina",breakbeat,173.982,0.513,0.979,0.207,-1.724,0.000761,0.252,0.116,0.0417,5ifOPV92kes4T29IYg2eIt
Colombo,Ska Punch - Original Mix,breakbeat,134.001,0.885,0.645,0.794,-5.693,0.000534,0.00861,0.0515,0.132,1MbarPuZfaWLUWtCpLDJ7p
Various Artists,Good Humor Man,breakbeat,113.995,0.625,0.596,0.747,-10.173,0.238,0.000129,0.226,0.0278,35YMjUWOx17R3dhLRMM1fA
Commodores,The Assembly Line,breakbeat,108.415,0.458,0.77,0.355,-7.629,0.403,0.00418,0.079,0.0497,1UFxdADDK4BgL9mdi4TWi6
Various Artists,Gypsy Rock,breakbeat,122.769,0.644,0.96,0.761,-3.632,0.105,0.857,0.121,0.0636,1c9Fj5H7AOczesHWzQKl6r
Various Artists,Giorgio Maurader,breakbeat,132.979,0.659,0.835,0.24,-7.236,0.00067,0.883,0.117,0.041,5VLPmRK82MufxLszWyFavA
DJ Baby Anne,Mixtress - Future Funk Squad Remix,breakbeat,133.992,0.62,0.943,0.534,-8.054,9.73e-05,0.778,0.405,0.0621,0YwYMBCBY3HWrCnWE5t7Bo
The Chemical Brothers,Lost In The K Hole,breakbeat,109.904,0.693,0.848,0.898,-4.78,0.00424,0.696,0.433,0.0388,4MrHZTzjwMbFgYzQjBKzeP
Various Artists,One In The Front,breakbeat,135.042,0.792,0.779,0.64,-8.159,0.000409,0.305,0.11,0.0522,0drDhwtglOiEe0AlrH6ZFe
The Prodigy,3 Kilos,breakbeat,119.002,0.696,0.834,0.841,-10.441,0.0828,0.643,0.371,0.0389,6eYnJnb31jiNbEZHqwlIsP
M-Beat,Booyaka,breakbeat,151.058,0.705,0.757,0.723,-14.17,0.00443,0.596,0.0806,0.0536,4mshYsCx6R9lnsBx9yuY1n
Evil Nine,Restless,breakbeat,131.989,0.604,0.876,0.661,-5.189,0.000618,0.358,0.653,0.0369,7Mk8wKsRMWsHtWAqAmIX5L
Technimatic,Night Vision,breakbeat,175.041,0.415,0.935,0.345,-3.124,0.000193,0.0123,0.125,0.0407,5gkVOhjqZlwyBwV8iDeQDj
Leftfield,Afrika Shox,breakbeat,130.009,0.635,0.819,0.277,-9.416,0.0063,0.214,0.984,0.0423,3NjcydwQvpQIBQgfXNIpYw
Various Artists,Mystic Brew,breakbeat,114.196,0.63,0.442,0.607,-12.273,0.567,0.832,0.535,0.0267,7jhHtBvrNNdVixB7EYO1aE
Various Artists,Hold On - Sub Focus Remix,breakbeat,173.995,0.377,0.931,0.0393,-4.758,0.00601,0.00845,0.169,0.0397,5Muk08hnvAKtf0MDHqIq5j
DJ Cam,Summer In Paris (Starring Anggun),breakbeat,128.965,0.613,0.574,0.914,-10.298,0.228,0.78,0.0745,0.0347,7px61lxh8BRZYvUviDNtYA
The Crystal Method,Jupiter Shift,breakbeat,128.007,0.551,0.976,0.708,-3.146,0.00441,0.565,0.149,0.0523,6byVrruF9GkqCbe00BJsZM
Adam Freeland,HATE,breakbeat,135.0,0.777,0.65,0.0229,-7.161,0.000508,0.906,0.0975,0.0507,4ELVL0EpjuTeAhztC8MDwj
Future Funk Squad,Isolate - Eshericks Remix,breakbeat,134.021,0.609,0.756,0.225,-7.188,0.000312,0.858,0.256,0.0499,10BjnE4Yhud5cIlYB8VsJT
Freestylers,Push Up,breakbeat,134.977,0.843,0.786,0.963,-5.395,0.00656,0.00906,0.0322,0.0564,7sAJFVC3bu6r291ICz5qRw
DJ Icey,Pumpin' - Re-Edit,breakbeat,137.799,0.764,0.952,0.468,-6.143,0.00164,0.00214,0.123,0.0625,22a4XzRpukL7axL9TWGs1p
Eric Berretta,"Future Sound Of Breaks Volume 2.0 - Continuous Mix - Feat. DJ Icey, Krafty Kuts, Deekline and Ed Solo, Hyde, Hydraulix",breakbeat,136.035,0.728,0.692,0.246,-12.064,0.000915,0.486,0.15,0.0551,1RADWAGoZRJod22HVKahvC
Mr. Scruff,Get A Move On!,breakbeat,123.324,0.76,0.767,0.816,-7.586,0.00344,0.759,0.519,0.0482,3AgEOAo3dvkjtsBmeTGRjg
Cypress Hill,Insane in the Brain,breakbeat,102.221,0.902,0.705,0.77,-7.253,0.0233,0.193,0.118,0.22,4dTMU4O2DdyIlRlss7v9UP
Fatboy Slim,Star 69 - Rogue Element Remix,breakbeat,135.019,0.755,0.889,0.933,-5.935,0.00546,3.12e-05,0.213,0.0782,2Pzf5bOoKRLkjItJXujrP6
RJD2,1976,breakbeat,103.011,0.745,0.808,0.935,-6.055,0.101,0.526,0.118,0.0442,09aNhXGvfo8wAhUxcsDFlZ
Plump DJs,The Gate,breakbeat,132.061,0.75,0.995,0.719,-6.786,0.225,0.882,0.101,0.0777,3jGzwr5eRaGXL5zlHFgF9b
Cold Blood,Kissing My Love,breakbeat,95.776,0.673,0.759,0.703,-9.771,0.0671,0.00401,0.0559,0.143,1uYFjXYe431Stwmapureka
Fatboy Slim,Weapon Of Choice,breakbeat,195.972,0.626,0.947,0.959,-4.608,0.136,0.78,0.209,0.057,08kB9HSfrcIi83rymwgjMz
C2C,The Beat,breakbeat,96.978,0.798,0.778,0.624,-5.236,0.00262,0.0883,0.28,0.143,5KTZsi6HKh2laUVsgaU3ag
Various Artists,Great Trip,breakbeat,127.038,0.696,0.915,0.693,-5.753,0.00214,0.241,0.655,0.207,5ys71c0npG2nE1gjUdSoPM
Incredible Bongo Band,In-A-Gadda-Da-Vida,breakbeat,115.748,0.554,0.783,0.555,-8.381,0.00913,0.908,0.2,0.0404,6RTTygAPtjANZ3d0VlIPcy
The Chemical Brothers,Galvanize,breakbeat,104.003,0.745,0.714,0.365,-3.681,0.0141,0.0222,0.363,0.0751,4bz7uB4edifWKJXSDxwHcs
The Prodigy,Stand Up,breakbeat,100.027,0.531,0.957,0.314,-7.193,0.00358,0.881,0.142,0.0442,18p13ezrEh4ojgekFlP7cq
Brass Construction,Movin’,chicago-house,121.686,0.668,0.735,0.94,-12.577,0.0505,0.788,0.0424,0.0473,1s8xZDPPL9eMGhJDApsCgs
Various Artists,The Acid Life,chicago-house,123.247,0.747,0.959,0.546,-9.658,0.000365,0.851,0.102,0.0684,1tnHsVeArIFRpzQvFchZCt
Lee Lewis,French Kiss - Club version,chicago-house,123.077,0.697,0.598,0.363,-14.85,0.0113,0.76,0.153,0.0629,6aq8xMUeh59uf6ll0qnDNG
Todd Terry,Something Goin' On (In Your Soul),chicago-house,127.89,0.707,0.747,0.849,-12.345,0.0126,0.18,0.0722,0.0379,5E5TuerJ7a9hYU9u4aWgeL
Frankie Knuckles,Party At My House,chicago-house,118.733,0.775,0.737,0.855,-16.082,0.0147,0.0236,0.0967,0.0636,7e2kKEOXRsHJzb2X1uGJwQ
Rozalla,"Faith (In The Power Of Love) (12"" Mix)",chicago-house,123.187,0.581,0.861,0.709,-6.669,0.00691,0.0492,0.294,0.0354,3MQBen57Cim5OO2ePpkrB0
Various Artists,Inside Out,chicago-house,111.008,0.735,0.566,0.834,-14.892,0.442,4.52e-05,0.137,0.0364,6QdgBEjb1Poqy6D3TDDPbh
Derrick May,Strings of Life,chicago-house,128.103,0.714,0.878,0.509,-6.209,0.153,0.811,0.0871,0.065,6RSmWJzW67qDXRyjs8wRob
Various Artists,Aw Shucks (Long Version),chicago-house,126.341,0.958,0.564,0.556,-12.808,0.00612,0.635,0.12,0.119,08QnuZIm6dN0uQFBAZtzFR
Various Artists,Silver Screen (Shower Scene),chicago-house,120.989,0.818,0.751,0.42,-8.414,0.000301,0.284,0.116,0.33,1SnfOifThD773NMHoh6FuK
Logic,The Warning - The Groove,chicago-house,122.192,0.81,0.687,0.501,-10.731,0.0343,0.914,0.121,0.0798,6TU6qJOpUAbkRoKoqnOMmn
DJ Cer,Weekend - feat. Class Action,chicago-house,124.044,0.895,0.729,0.85,-6.429,0.00248,0.0646,0.0479,0.0852,7hW8QrtkHnZ97TmVs4WSUL
Hashim,Al-Naafyish - Time,chicago-house,122.757,0.702,0.828,0.45,-7.609,9.35e-05,0.784,0.407,0.0485,6nDk4QT1fDe0S86PxijTUE
