Name,Id,Artists,Artists_Id,Release,Duration,Genre,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valeance,Tempo
Million Voices - Radio Edit,0MOiv7WTXCqvm89lVCf9C8,['Otto Knows'],['5fahUm8t5c0GIdeTq0ZaG8'],1/1/12,192867,edm,0.582,0.894,8,-6.298,0.041,0.0022,0.0223,0.0664,0.0694,125.946
Let Me Think About It (Celebration Mix),2HnbQUKe1joI2tSFuUhqZs,"['Fedde Le Grand', 'Ida Corr']","['7dc6hUwyuIhrZdh80eaCEE', '30ut8L4gmEz4vNr1zNhpbh']",12/8/17,152581,edm,0.741,0.914,5,-2.622,0.0391,0.00129,0.00174,0.166,0.712,128.948
Five More Hours - Deorro x Chris Brown,3MOECVkNshqHYTPt5DZcdN,"['Deorro', 'Chris Brown']","['6VD4UEUPvtsemqD3mmTqCR', '7bXgB6jMjp9ATFy66eO08Z']",3/31/17,211975,edm,0.699,0.883,5,-3.226,0.219,0.0288,0,0.817,0.499,127.961
Quechua,0vQdNTM18KusMJJrXWXDAy,"['Quintino', 'Thomas Gold']","['1V3VTM7VspiQjcmRhC010n', '1XLjkBxFokuDTlHt0mQkRe']",5/21/21,179091,edm,0.592,0.983,5,-3.429,0.084,0.000611,0.00764,0.175,0.375,131.967
More Than You Know,6h5PAsRni4IRlxWr6uDPTP,['Axwell /\\ Ingrosso'],['2XnBwblw31dfGnspMIwgWz'],7/28/17,203000,edm,0.646,0.741,5,-4.973,0.034,0.0275,0,0.312,0.571,123.077
Water (feat. ZOHARA),6KddlPfPQ0L8MyffEpo63p,"['KREAM', 'ZOHARA']","['0DdDnziut7wOo6cAYWVZC5', '2JfoFQs5wPHgLz8wnJ4wL2']",10/23/20,192838,edm,0.567,0.738,0,-6.03,0.154,0.0129,7.27E-05,0.207,0.432,121.936
Gecko (Overdrive) - Radio Edit,483XiZ5o13Cc1zoWV7jGml,"['Oliver Heldens', 'Becky Hill']","['5nki7yRhxgM509M5ADlN1p', '4EPJlUEBy49EX1wuFOvtjK']",6/3/14,165441,edm,0.609,0.885,0,-5.469,0.0642,0.00521,1.15E-05,0.336,0.76,124.959
Not So Bad (feat. Emie),1XFHbzTikXks9CsMq4v8Q3,"['Yves V', 'Ilkay Sencan', 'Emie']","['47BEc2RoW53owMyxacXWdV', '5deLgmgAEgy8UHOfJ9Dj8w', '7vMDKdgSZ2Scn4uzFdTDyZ']",1/3/20,153697,edm,0.74,0.674,11,-4.374,0.0476,0.00903,0.238,0.154,0.231,126.017
Don't You Worry Child - Radio Edit,2V65y3PX4DkRhy1djlxd9p,"['Swedish House Mafia', 'John Martin']","['1h6Cn3P4NGzXbaXidqURXs', '2auikkNYqigWStoHWK1Grq']",9/14/12,212862,edm,0.612,0.84,11,-3.145,0.0509,0.112,0,0.116,0.438,129.042
Bad Habit,18kYsXi1YDzYfbDhUCLGJ3,['Firebeatz'],['53YSn9tHwGJ6bq5P0gGoYo'],3/6/20,186240,edm,0.581,0.888,2,-6.369,0.0382,0.00156,0.000112,0.0988,0.291,124.96
Waste It On Me,66XDf77gBcfQKi4I2vIbTj,"['Steve Aoki', 'BTS']","['77AiFEVeAVj2ORpC85QVJs', '3Nrfpe0tUJi4K4DXYWgMUX']",11/9/18,192537,edm,0.669,0.684,7,-4.595,0.0585,0.252,0,0.72,0.466,96.097
Happy Hour,6OFxiLfnMwOodCdV7x2yXC,"['Felix Cartal', 'Kiiara']","['6roDXEmZ6AARdOUv6x5U2v', '4u5smJBskI6Adzv08PuiUP']",6/25/21,168000,edm,0.625,0.855,5,-3.184,0.0401,0.00324,0,0.742,0.303,120.004
Run Away,512MWs3jFUvUTdj2X4eM07,"['Bassjackers', 'Jaxx & Vega', 'Futuristic Polar Bears']","['6xQvQwZQQuq9R3TdPNbcR8', '7bdZVVcdyFjxVRj6vCVk9w', '47v4vGA1qCl7hyevSkpRM7']",9/25/20,156000,edm,0.678,0.908,8,-5.07,0.0606,0.00452,0.0152,0.107,0.32,129.971
Electric Elephants,4O2gRMLAIQYHXe25wjeTFj,['Jay Hardway'],['12SPNXi0aDpFt0rMVbmLrr'],11/13/15,173087,edm,0.588,0.927,6,-1.78,0.064,0.00293,0.403,0.211,0.254,127.946
Solo Dance,10AsRVRdU07cMAFHeGYO3c,['Martin Jensen'],['4ehtJnVumNf6xzSCDk8aLB'],11/4/16,174933,edm,0.746,0.846,9,-2.432,0.048,0.0485,0,0.195,0.403,114.955
No Diggity,32PKQDEaouIIOlNZ5umoR6,"['Lucas & Steve', 'Blackstreet']","['5wwneIFdawNgQ7GvKK29Z3', '2P3cjUru4H3fhSXXNxE9kA']",3/26/21,168728,edm,0.74,0.709,6,-5.573,0.0674,0.0536,0,0.11,0.69,121.998
City Of Dreams - Radio Edit,54ZPmGE1uOG9IYoUBSRSp7,"['Dirty South', 'Alesso', 'Ruben Haze']","['1bpzpALZwOoKXzwMg2i8WB', '4AVFqumd2ogHFlRbKIjp1t', '5nkzSFYwr8GJcwHT6vbbYL']",1/1/13,226867,edm,0.478,0.818,4,-5.076,0.0377,0.00292,0.00789,0.438,0.163,127.953
All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,"['R3HAB', 'A Touch Of Class']","['6cEuCEZu7PAE9ZSzLLc2oQ', '5wTdspmxzb8V4ZjvDodpBo']",4/5/19,147840,edm,0.733,0.859,9,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948
Leave The World Behind - Radio Edit,25ZEYUgCJyf3gRxkqYbkIc,"['Axwell', 'Sebastian Ingrosso', 'Steve Angello', 'Laidback Luke', 'Deborah Cox']","['1xNmvlEiICkRlRGqlNFZ43', '6hyMWrxGBsOx6sWcVj1DqP', '4FqPRilb0Ja0TKG3RS3y4s', '53cQZtWDwDJwVCNZlfJ6Qk', '601893mmW5hl1FBOykWZHG']",5/4/09,161719,edm,0.525,0.849,10,-7.727,0.0484,0.00232,0.00196,0.322,0.277,128.055
Rave Love,0YHL0wDP6b7ov6h0yEhorO,"['W&W', 'AXMO', 'SONJA']","['2rTo8KIkBTFjQS7VvaKYQ4', '5QWt56OIzFSPRpD7VeRkbc', '7rEAvtkj6sNUlQXlYRldrs']",10/23/20,189000,edm,0.393,0.895,6,-4.935,0.0493,0.00259,0.000407,0.151,0.183,160.057
Wildest Dream,3SWT9eHwRgEnVTzqE6yDiA,"['Thomas Gold', 'Kosling', 'Matthew Steeper']","['1XLjkBxFokuDTlHt0mQkRe', '1dsilrkrvxXE6I02SWfDYD', '5BCqO5LyLTOvo7etwfgQ7b']",3/15/19,187511,edm,0.545,0.839,1,-4.24,0.0468,0.0223,0,0.0714,0.276,127.987
Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,"['Galantis', 'David Guetta', 'Little Mix']","['4sTQVOfp9vEMCemLw50sbu', '1Cs0zKBU1kc0i8ypK3B9ai', '3e7awlrlDSwF3iM0WBjGMp']",5/20/21,183726,edm,0.595,0.784,1,-4.878,0.102,0.216,0,0.0608,0.479,124.111
Coming Home,09sKH3nKtVZ6ovDReYRAu0,"['Dimitri Vangelis & Wyman', 'Mike Perry']","['10hGPIDZi33LRaYRIq3Bh4', '6lB8vOoI4DRrrVxXwuV19c']",5/8/20,207999,edm,0.614,0.921,2,-4.199,0.0625,0.0205,9.67E-06,0.119,0.427,127.964
Jumpin',7tqS7Ywfkz6zVy3aWzip0W,"['CID', 'Westend']","['4FCzCS0KEgb0rgySWINItO', '4epc3Bd0DOBA0kDywkRAsu']",2/12/21,155000,edm,0.924,0.69,11,-5.499,0.0662,0.00354,0.00435,0.329,0.592,125.959
Without You,3iQNkoYyr2SffgYiTpE3v5,"['Brooks', 'Julian Jordan']","['4mHAu7NX2UNsnGXjviBD9e', '2vUCVkeZjzDcaoX4gagHdV']",5/1/20,190729,edm,0.7,0.958,1,-2.729,0.054,0.00264,0.00704,0.18,0.163,127.893
Strangers,4oaOiFsrOQFqRnIU3hg3cM,"['Seven Lions', 'Myon', 'Shane 54', 'Tove Lo']","['6fcTRFpz0yH79qSKfof7lp', '0nTbVTXLLbBA4xCtn0cFkv', '2ITbqEgyp32vL3BxEFmQ1V', '4NHQUGzhtTLFvgF5SZesLK']",4/29/14,204120,edm,0.577,0.706,0,-7.421,0.0404,0.0147,2.56E-06,0.128,0.458,129.974
Body,21RzyxY3EFaxVy6K4RqaU9,"['Loud Luxury', 'Brando']","['6t1gpxYbY8OlLA7D2RiikQ', '5uEeqYFuIChoWKy34jp8xE']",10/27/17,163216,edm,0.752,0.764,1,-4.399,0.038,0.0476,9.44E-05,0.0543,0.582,121.958
The Middle,09IStsImFySgyp0pIQdqAc,"['Zedd', 'Maren Morris', 'Grey']","['2qxJFvFYMEDqd7ui6kSAcq', '6WY7D3jk8zTrHtmkqqo5GI', '4lDBihdpMlOalxy1jkUbPl']",1/23/18,184732,edm,0.753,0.657,7,-3.061,0.0449,0.171,0,0.112,0.437,107.01
Oceans & Galaxies,5NQKpa6uCqZcaFkAbUK4XB,"['Jauz', 'HALIENE']","['5ttgIeUVka6FLyi00Uu5h8', '1sKIizVYeHkGy7Tjmn9QRj']",4/16/21,200548,edm,0.532,0.625,1,-7.472,0.0506,0.12,3.35E-05,0.103,0.297,145.857
Say My Name,3GYlQmwfBDo7imFyGPhrl7,"['Dimitri Vegas & Like Mike', 'Regard', 'Dimitri Vegas']","['73jBynjsVtofjRpdpRAJGk', '4ofCBoyEiGSePFAG500xev', '2HkAI0YrEcgoR8QdaURqhO']",7/24/20,159536,edm,0.729,0.788,10,-4.832,0.0908,0.0703,0,0.115,0.857,118.039
I Can't Stop,03EuhmMsEHVFI9ytainStU,['Flux Pavilion'],['7muzHifhMdnfN1xncRLOqk'],10/11/10,303911,edm,0.513,0.775,0,-7.202,0.0304,0.000672,0.248,0.409,0.205,139.932
Rise Up (feat. Vamero),46lyJh9GYmWsHez3EsvmAx,"['VINAI', 'VAMERO']","['4mrBetqy378Jf1y6NLszlx', '74GrV01oFcjJdLHCF9MWhr']",5/1/20,182000,edm,0.648,0.927,1,-3.633,0.049,0.011,0,0.162,0.361,126.037
I Should Have Walked Away,1QAo8RyNwS1O6d93dGQ6xi,"['KAAZE', 'Nino Lucarelli']","['6WGE3kO8ULME2ErBcOksSR', '2Z6k8JBzhJPPRIAyKaUEJZ']",10/4/19,202154,edm,0.434,0.668,11,-4.808,0.0359,0.0311,0,0.497,0.281,129.803
Intoxicated - Radio Edit,2RhKxrhti1jd1Krzh968Cb,"['Martin Solveig', 'Good Times Ahead']","['1bj5GrcLom5gZFF5t949Xl', '6M7RdR9ZP52h2mfNLmiHtU']",2/23/15,158280,edm,0.796,0.607,0,-6.114,0.0409,0.00565,0.00231,0.0716,0.566,125.053
Hold On (feat. Cheat Codes) - Radio Edit,0XnHIhm9ppEHHDSRESdEcV,"['Moguai', 'Cheat Codes']","['4xgFgBZ7CRtgtHcziClOwQ', '7DMveApC7UnC2NPfPvlHSU']",9/11/15,178560,edm,0.611,0.785,5,-5.721,0.0707,0.194,0,0.0956,0.545,125.03
Unfamiliar,6tTPc9BEDYExwIEg8QGxvL,"['Seeb', 'Goodboys', 'HRVY']","['5iNrZmtVMtYev5M9yoWpEq', '2nm38smINjms1LtczR0Cei', '28y6CyJNkGNjJQKrlx4AmN']",7/24/20,174811,edm,0.59,0.677,0,-5.395,0.0577,0.00882,0.000147,0.157,0.304,184.573
Raven,7uThJgXBvoLf7ajaj1D4Fa,['John Dahlbäck'],['15xvsJMf8phaNa1LYvL9Qv'],1/29/16,190155,edm,0.569,0.896,1,-3.114,0.0489,0.00338,0.958,0.0633,0.118,128.083
Let Me Be The One,5ijDq4SioO6LGGeAIZu6W9,"['Julian Jordan', 'Guy Arthur']","['2vUCVkeZjzDcaoX4gagHdV', '7I82CsIAyE2RTFwtP6gcrP']",3/5/21,159677,edm,0.589,0.876,0,-4.584,0.0533,0.00478,0,0.301,0.254,123.95
Praise (feat. Gunna),5cz0T1Q8AmpY18TDLAe2ja,"['Tchami', 'Gunna']","['1KpCi9BOfviCVhmpI4G2sY', '2hlmm7s2ICUX0LVIhVFlZQ']",10/23/20,210001,edm,0.737,0.681,10,-10.063,0.0536,0.0401,0.0011,0.31,0.799,124.023
Pum Pum,2UgYkhMpgPXeYPqPBpgk6y,"['Showtek', 'Sevenn']","['3gk0OYeLFWYupGFRHqLSR7', '7bNqXqIrIfwJnipx7oGeU4']",2/26/21,177923,edm,0.851,0.791,10,-4.413,0.0861,0.109,0.000341,0.132,0.47,129.992
