artist_name,track_name,genre,tempo,danceability,energy,valence,id
Various Artists,Theme from S'Express,chicago-house,117.717,0.681,0.714,0.439,1cBMPX3f3O1pTCaAdLNQL4
Pete Seeger & Arlo Guthrie,"Estadio Chile - live at Opera House, Chicago",chicago-house,129.436,0.593,0.128,0.333,7BCiLnXQSzIomHpDpyo3xE
Virgo,Silence,chicago-house,115.632,0.759,0.821,0.146,0cXPIwKwKbMWBvVYcdvLIy
Various Artists,Invasion - Spasms Remix,chicago-house,134.83,0.868,0.639,0.333,4y9ZqVNInijlRi17Ov5pzf
Various Artists,Let the Music Play (Re-Recorded / Remastered),chicago-house,114.898,0.536,0.843,0.797,7jXD9uYkuPmFQcOdsw84d3
Various Artists,Promised Land,chicago-house,124.834,0.675,0.826,0.884,78XEeXFjhe9IqtQwT5PsQR
Freeez,"I.O.U. (7"" Version)",chicago-house,118.794,0.759,0.905,0.774,35aAY4EJTCzqcluZYuIpCM
Various Artists,Time Marches On,chicago-house,116.715,0.709,0.767,0.429,4VxwQ0u3mLWnsPtH7UdneO
Jesse Saunders,"Funk U Up - Original 12"" Vocal",chicago-house,117.045,0.747,0.727,0.808,4np1ZSefZyjnML0fEfElBo
Thievery Corporation,Khalghi Stomp,chicago-house,170.037,0.515,0.934,0.97,0yOkjMOg4lKTQWoUncrOCY
Tyrrell,Naked In the Rain - Original Radio Edit,chicago-house,126.014,0.596,0.878,0.527,2O8xJhnKXgfsqc65IPYbRW
VA,Finger Fuck,chicago-house,128.835,0.786,0.902,0.959,7xfXaftCHnS86O6JfKvYL4
Various Artists,Wait (feat. Kym Mazelle),chicago-house,120.001,0.664,0.844,0.816,5VgqhKPm0qE8DuywUoTjzT
Tyree Cooper,Turn Up The Bass - Fast Eddie Scratch It Up Mix,chicago-house,126.657,0.762,0.898,0.349,4a2VdX9fRz3mFuEP17TnEn
Various Artists,"Spank - 12 "" Version",chicago-house,118.077,0.782,0.601,0.842,1uoFwurhS62GOfTz2AbjYJ
Marc Et Claude Present The History Of Acid House,The History of Acid House - Original Mix,chicago-house,131.999,0.717,0.999,0.161,0bpjhNeWZWB2sJ4bogZrZS
